Time,HI
1,1.112896927635321
2,1.100878773550259
3,1.1677075379316595
4,1.1201784417410152
5,1.1195482686561344
6,1.1309762415984066
7,1.1093950633793255
8,1.0911533422322919
9,1.093358724549812
10,1.145112741946369
11,1.0678591904577988
12,1.0969543004735756
13,1.1128005786970163
14,1.085185530899644
15,1.1048984073601482
16,1.0420273001286295
17,1.0989446843909425
18,1.1285918182239367
19,1.1539562197936213
20,1.1131825596264568
21,1.1011878406370887
22,1.1529435582931866
23,1.1019643086288644
24,1.092776219055108
25,1.0650095922250078
26,1.0917356547513468
27,1.0981848692262504
28,1.149891522191952
29,1.1139249526177122
30,1.1074813119227414
31,1.1275383100946799
32,1.141490012472223
33,1.1039536517065673
34,1.111905638987674
35,1.0683735838677437
36,1.124841183355966
37,1.0890551248517824
38,1.0713074319681912
39,1.1056666072367944
40,1.0909244735900472
41,1.0773844015409413
42,1.0688000225137448
43,1.1229567649385035
44,1.0899546330664283
45,1.0687957300891613
46,1.1158397526338808
47,1.138742418593372
48,1.1327605385737458
49,1.0719103310420741
50,1.1770826468625135
51,1.0730129349879323
52,1.0738708663395178
53,1.1493659559585698
54,1.0985843603614018
55,1.0878934459374465
56,1.1435411326122351
57,1.1356461631298544
58,1.109387390508111
59,1.0975564622890481
60,1.0950787161275761
61,1.1118297638857575
62,1.0584989170249792
63,1.116305775689172
64,1.057704646488829
65,1.0755773319413227
66,1.1249689645284453
67,1.1174257641855048
68,1.0497854291880695
69,1.107836728688156
70,1.0879819369214982
71,1.124993466724595
72,1.0736461783370501
73,1.1362085649219114
74,1.1120888571419798
75,1.0863715090562163
76,1.057345002996822
77,1.108427737624916
78,1.04404728075122
79,1.0760622484466535
80,1.039532600765927
81,1.0784519993668777
82,1.06773743207221
83,1.1193746745347957
84,1.1054637433624144
85,1.11055921052233
86,1.1256129661048182
87,1.0768507360662225
88,1.1161151343627869
89,1.0946081381480677
90,1.0878839010456394
91,1.107998760862315
92,1.0746782370457104
93,1.0266346057306674
94,1.0927507746793943
95,1.0942271052366068
96,1.1191702650531885
97,1.0591193679803552
98,1.0754688836364246
99,1.0813558984209213
100,1.0606701882411484
101,1.1149098939453654
102,1.0904649141453684
103,1.0626536341132164
104,1.0701425629959773
105,1.0668223819999278
106,1.0742190010011998
107,1.1039360464256787
108,1.1244710274089709
109,1.0747613627433277
110,1.0718076927837736
111,1.1287210854540477
112,1.0927268250160744
113,1.128594970413128
114,1.100671091553653
115,1.0904049781799252
116,1.0825902291943732
117,1.1162483659599922
118,1.125362271871689
119,1.1127806148490496
120,1.0929573774028885
121,1.0902951536805225
122,1.0789156447681278
123,1.0870987198190032
124,1.0906824504485582
125,1.088347644305426
126,1.0655582716417875
127,1.0854659992518692
128,1.1421639309384577
129,1.0714794539576578
130,1.1372904012395086
131,1.0668267095226822
132,1.0866738255383335
133,1.084562302678643
134,1.0731904613871377
135,1.0348126502672368
136,1.071754884631675
137,1.098777023389713
138,1.111016669221314
139,1.1130369404028742
140,1.0715392253960034
141,1.0846554332944802
142,1.1105280753676712
143,1.096345827603391
144,1.118584494919698
145,1.1007397970092412
146,1.1153466087690502
147,1.0950128626981435
148,1.0932330920891153
149,1.0987044869336848
150,1.1536468215163211
151,1.073115557465356
152,1.1120395694881788
153,1.098972499381757
154,1.1286118483001781
155,1.1150590382904992
156,1.141607155510641
157,1.1228926309813823
158,1.1443891558586048
159,1.1552890151753508
160,1.1513121262101282
161,1.1221952883027724
162,1.1112969130815695
163,1.1724720213016908
164,1.1544695578523594
165,1.0968715082920244
166,1.11194722311296
167,1.164271628475958
168,1.1098325149182044
169,1.130993352398769
170,1.1284806952457027
171,1.130460707443042
172,1.1218052232131859
173,1.1355861585284899
174,1.1521324087689906
175,1.1195411126186983
176,1.1314153933409399
177,1.0904573004899474
178,1.1092445793357992
179,1.1253981170587575
180,1.1705393523797887
181,1.1606560606189977
182,1.104876416143933
183,1.1514983459427772
184,1.1403121567544616
185,1.1420373766674754
186,1.18118536553769
187,1.1461673406074888
188,1.1114673400038795
189,1.0664268322418557
190,1.1498749281088347
191,1.1248288874053984
192,1.1225345915843898
193,1.1488874809827367
194,1.1481674451311938
195,1.1158439399015416
196,1.1647004979249818
197,1.12240721978691
198,1.1767973008745154
199,1.159502783961993
200,1.1871974528051663
201,1.15818851788438
202,1.1590855414416643
203,1.153605459754958
204,1.1441686114913403
205,1.1537864945671854
206,1.1335709956142743
207,1.160512715667452
208,1.182737959328575
209,1.1252253005969541
210,1.1433336059579269
211,1.1525530185879522
212,1.1901758212743312
213,1.157154626134415
214,1.0945868841994515
215,1.163430451363812
216,1.1427758193902142
217,1.13530617321024
218,1.14778451552135
219,1.1406438581595695
220,1.1721397570655527
221,1.1748666044161664
222,1.183368755069571
223,1.1369462438035451
224,1.1447821982153326
225,1.149737418645199
226,1.202096297335212
227,1.1318688177718355
228,1.1715921929434243
229,1.1919341532942729
230,1.1693390144669666
